gene_id,urn,N_mutations_per_position,vefill-min_pears,vefill-max_pears
3,urn:mavedb:00000001-a-3,1,0.2453326831,
3,urn:mavedb:00000001-a-3,2,0.5125111356,
3,urn:mavedb:00000001-a-3,3,0.4581820812,
3,urn:mavedb:00000001-a-3,4,0.561034226,
3,urn:mavedb:00000001-a-3,5,0.5177080768,
3,urn:mavedb:00000001-a-3,6,0.5563887072,
3,urn:mavedb:00000001-a-3,7,0.6004275766,
3,urn:mavedb:00000001-a-3,8,0.5686636922,
3,urn:mavedb:00000001-a-3,9,0.5939550106,
3,urn:mavedb:00000001-a-3,10,0.5985790498,
3,urn:mavedb:00000001-a-3,11,0.5969780129,
3,urn:mavedb:00000001-a-3,12,0.6099960792,
3,urn:mavedb:00000001-a-3,13,0.6029542089,
3,urn:mavedb:00000001-a-3,14,0.60178722,
3,urn:mavedb:00000001-a-3,15,0.6220513897,
3,urn:mavedb:00000001-a-3,16,0.607780426,
3,urn:mavedb:00000001-a-3,17,0.6165468287,
3,urn:mavedb:00000001-a-3,18,0.6104019369,
3,urn:mavedb:00000001-a-3,20,0.6130969211,
6,urn:mavedb:00000001-b-2,1,0.251200148,
6,urn:mavedb:00000001-b-2,2,0.5548310823,
6,urn:mavedb:00000001-b-2,3,0.4122878363,
6,urn:mavedb:00000001-b-2,4,0.6249106218,
6,urn:mavedb:00000001-b-2,5,0.6734087106,
6,urn:mavedb:00000001-b-2,6,0.6925103439,
6,urn:mavedb:00000001-b-2,7,0.70355035,
6,urn:mavedb:00000001-b-2,8,0.7011815447,
6,urn:mavedb:00000001-b-2,9,0.7077857365,
6,urn:mavedb:00000001-b-2,10,0.697037569,
6,urn:mavedb:00000001-b-2,11,0.7156378414,
6,urn:mavedb:00000001-b-2,12,0.7088361827,
6,urn:mavedb:00000001-b-2,13,0.7666587489,
6,urn:mavedb:00000001-b-2,14,0.728851049,
6,urn:mavedb:00000001-b-2,15,0.7135216234,
6,urn:mavedb:00000001-b-2,16,0.6963555176,
6,urn:mavedb:00000001-b-2,17,0.7239671217,
6,urn:mavedb:00000001-b-2,18,0.7327104694,
6,urn:mavedb:00000001-b-2,20,0.7285396254,
62,urn:mavedb:00000041-b-1,1,,
62,urn:mavedb:00000041-b-1,2,,
62,urn:mavedb:00000041-b-1,3,,
62,urn:mavedb:00000041-b-1,4,,
62,urn:mavedb:00000041-b-1,5,0.5162589359,
62,urn:mavedb:00000041-b-1,6,0.3351365384,
62,urn:mavedb:00000041-b-1,7,0.5065202694,
62,urn:mavedb:00000041-b-1,8,0.4706128741,
62,urn:mavedb:00000041-b-1,9,0.4870422027,
62,urn:mavedb:00000041-b-1,10,0.4718912084,
62,urn:mavedb:00000041-b-1,11,0.602624195,
62,urn:mavedb:00000041-b-1,12,0.4750995575,
62,urn:mavedb:00000041-b-1,13,0.3921084594,
62,urn:mavedb:00000041-b-1,14,0.4466161177,
62,urn:mavedb:00000041-b-1,15,0.5819910542,
62,urn:mavedb:00000041-b-1,16,0.4556818775,
62,urn:mavedb:00000041-b-1,17,0.3869288395,
62,urn:mavedb:00000041-b-1,18,0.3701849074,
62,urn:mavedb:00000041-b-1,20,0.2937528673,
64,urn:mavedb:00000043-a-1,1,,
64,urn:mavedb:00000043-a-1,2,,
64,urn:mavedb:00000043-a-1,3,0.670997637,0.3523897924
64,urn:mavedb:00000043-a-1,4,0.6698383551,0.4057308628
64,urn:mavedb:00000043-a-1,5,0.5728575549,0.4259320675
64,urn:mavedb:00000043-a-1,6,0.6620862118,0.498501757
64,urn:mavedb:00000043-a-1,7,0.720360912,0.4345858294
64,urn:mavedb:00000043-a-1,8,0.6694853974,0.4378107202
64,urn:mavedb:00000043-a-1,9,0.6832891939,0.4757033762
64,urn:mavedb:00000043-a-1,10,0.7014181744,0.5210712921
64,urn:mavedb:00000043-a-1,11,0.7112784435,0.3992669085
64,urn:mavedb:00000043-a-1,12,0.7458046014,0.4241802128
64,urn:mavedb:00000043-a-1,13,0.7012984556,0.4449753501
64,urn:mavedb:00000043-a-1,14,0.6770479423,0.4224537413
64,urn:mavedb:00000043-a-1,15,0.6775936951,0.4720731073
64,urn:mavedb:00000043-a-1,16,0.6869443096,0.4938285718
64,urn:mavedb:00000043-a-1,17,0.7020982396,0.4598338107
64,urn:mavedb:00000043-a-1,18,0.6967958896,0.514036109
64,urn:mavedb:00000043-a-1,20,0.6976481781,0.5151921051
65,urn:mavedb:00000045-h-1,1,0.2696280207,0.1980165835
65,urn:mavedb:00000045-h-1,2,0.7080583379,0.6552285893
65,urn:mavedb:00000045-h-1,3,0.7112532227,0.7078641907
65,urn:mavedb:00000045-h-1,4,0.7293259179,0.8119338555
65,urn:mavedb:00000045-h-1,5,0.7933320562,0.7916182022
65,urn:mavedb:00000045-h-1,6,0.792198425,0.8026981274
65,urn:mavedb:00000045-h-1,7,0.8397166758,0.8344803156
65,urn:mavedb:00000045-h-1,8,0.806968827,0.8598051091
65,urn:mavedb:00000045-h-1,9,0.8280555792,0.8441509426
65,urn:mavedb:00000045-h-1,10,0.8344593887,0.8328369038
65,urn:mavedb:00000045-h-1,11,0.8485646432,0.8502950232
65,urn:mavedb:00000045-h-1,12,0.8365421291,0.8653413201
65,urn:mavedb:00000045-h-1,13,0.8504926854,0.8476147678
65,urn:mavedb:00000045-h-1,14,0.8602372141,0.8551204982
65,urn:mavedb:00000045-h-1,15,0.8519387132,0.8632358835
65,urn:mavedb:00000045-h-1,16,0.8549948924,0.8593846303
65,urn:mavedb:00000045-h-1,17,0.8531550307,0.8652403519
65,urn:mavedb:00000045-h-1,18,0.8509315962,0.8705955239
65,urn:mavedb:00000045-h-1,20,0.8517212368,0.8664945592
68,urn:mavedb:00000045-c-1,1,0.2061206118,0.1699719813
68,urn:mavedb:00000045-c-1,2,0.7190978431,0.7571606592
68,urn:mavedb:00000045-c-1,3,0.7615673456,0.8019176772
68,urn:mavedb:00000045-c-1,4,0.7704210356,0.8417467374
68,urn:mavedb:00000045-c-1,5,0.7448301757,0.8261049645
68,urn:mavedb:00000045-c-1,6,0.807631759,0.8590799801
68,urn:mavedb:00000045-c-1,7,0.8135681249,0.8675567591
68,urn:mavedb:00000045-c-1,8,0.8414287941,0.8750896141
68,urn:mavedb:00000045-c-1,9,0.8274360669,0.9015797759
68,urn:mavedb:00000045-c-1,10,0.8402109,0.904590853
68,urn:mavedb:00000045-c-1,11,0.8420033439,0.8832321024
68,urn:mavedb:00000045-c-1,12,0.8380292491,0.8862772529
68,urn:mavedb:00000045-c-1,13,0.8322727914,0.9039947253
68,urn:mavedb:00000045-c-1,14,0.8445815735,0.9088674857
68,urn:mavedb:00000045-c-1,15,0.845312044,0.9079660706
68,urn:mavedb:00000045-c-1,16,0.8500428873,0.9074493964
68,urn:mavedb:00000045-c-1,17,0.8478532768,0.9023892666
68,urn:mavedb:00000045-c-1,18,0.8578577104,0.9080187074
68,urn:mavedb:00000045-c-1,20,0.8541135411,0.9039158243
69,urn:mavedb:00000045-d-1,1,0.1838360318,0.5581437488
69,urn:mavedb:00000045-d-1,2,0.6785396166,0.726890268
69,urn:mavedb:00000045-d-1,3,0.7043128122,0.8028186065
69,urn:mavedb:00000045-d-1,4,0.7929760401,0.8515499512
69,urn:mavedb:00000045-d-1,5,0.8368579672,0.8598863812
69,urn:mavedb:00000045-d-1,6,0.8386851029,0.8522661043
69,urn:mavedb:00000045-d-1,7,0.8301870692,0.8538326797
69,urn:mavedb:00000045-d-1,8,0.8636994456,0.8549850111
69,urn:mavedb:00000045-d-1,9,0.8541285219,0.8738306087
69,urn:mavedb:00000045-d-1,10,0.855276245,0.8764748083
69,urn:mavedb:00000045-d-1,11,0.8599552713,0.8845231859
69,urn:mavedb:00000045-d-1,12,0.8517010485,0.8849310884
69,urn:mavedb:00000045-d-1,13,0.8943760355,0.8802518795
69,urn:mavedb:00000045-d-1,14,0.8860551705,0.882046613
69,urn:mavedb:00000045-d-1,15,0.8794349313,0.882151129
69,urn:mavedb:00000045-d-1,16,0.8878779409,0.8938255346
69,urn:mavedb:00000045-d-1,17,0.8887583489,0.8885030654
69,urn:mavedb:00000045-d-1,18,0.8819921399,0.8872593454
69,urn:mavedb:00000045-d-1,20,0.8853662069,0.8872548426
72,urn:mavedb:00000045-g-1,1,0.2930378794,0.2616773553
72,urn:mavedb:00000045-g-1,2,0.7133983892,0.6705467464
72,urn:mavedb:00000045-g-1,3,0.7921952141,0.7766568505
72,urn:mavedb:00000045-g-1,4,0.8267326061,0.8303190864
72,urn:mavedb:00000045-g-1,5,0.8156518666,0.840875917
72,urn:mavedb:00000045-g-1,6,0.8326404883,0.8377662721
72,urn:mavedb:00000045-g-1,7,0.8471715585,0.8749174084
72,urn:mavedb:00000045-g-1,8,0.8622895903,0.872721415
72,urn:mavedb:00000045-g-1,9,0.8636037172,0.8759384008
72,urn:mavedb:00000045-g-1,10,0.8776536478,0.8724852278
72,urn:mavedb:00000045-g-1,11,0.8696321205,0.8790480229
72,urn:mavedb:00000045-g-1,12,0.8859179716,0.9003396861
72,urn:mavedb:00000045-g-1,13,0.8913925576,0.8883493444
72,urn:mavedb:00000045-g-1,14,0.8871544082,0.8920226766
72,urn:mavedb:00000045-g-1,15,0.8789098239,0.8991023691
72,urn:mavedb:00000045-g-1,16,0.8858645405,0.8933328394
72,urn:mavedb:00000045-g-1,17,0.8907753635,0.9026614927
72,urn:mavedb:00000045-g-1,18,0.8912669288,0.9016707716
72,urn:mavedb:00000045-g-1,20,0.8831438072,0.9006269113
73,urn:mavedb:00000045-i-1,1,0.2331936307,0.1721496746
73,urn:mavedb:00000045-i-1,2,0.5554153454,0.7112238097
73,urn:mavedb:00000045-i-1,3,0.7086565118,0.7560390492
73,urn:mavedb:00000045-i-1,4,0.7405016767,0.8224831311
73,urn:mavedb:00000045-i-1,5,0.7515207651,0.8612851245
73,urn:mavedb:00000045-i-1,6,0.798311944,0.849529997
73,urn:mavedb:00000045-i-1,7,0.8200981704,0.8610695436
73,urn:mavedb:00000045-i-1,8,0.817459061,0.8671798705
73,urn:mavedb:00000045-i-1,9,0.8061319005,0.8855247307
73,urn:mavedb:00000045-i-1,10,0.8350046309,0.8929558207
73,urn:mavedb:00000045-i-1,11,0.8480597643,0.8908927558
73,urn:mavedb:00000045-i-1,12,0.8389958582,0.9002781999
73,urn:mavedb:00000045-i-1,13,0.8385767859,0.8951728077
73,urn:mavedb:00000045-i-1,14,0.8502502941,0.8895193128
73,urn:mavedb:00000045-i-1,15,0.8418929052,0.8924426709
73,urn:mavedb:00000045-i-1,16,0.8546207303,0.9033242841
73,urn:mavedb:00000045-i-1,17,0.8556438695,0.8956067701
73,urn:mavedb:00000045-i-1,18,0.8583356954,0.9039675158
73,urn:mavedb:00000045-i-1,20,0.8556492264,0.898667867
75,urn:mavedb:00000045-k-1,1,0.1381050058,0.6667717831
75,urn:mavedb:00000045-k-1,2,0.5913274233,0.7482038086
75,urn:mavedb:00000045-k-1,3,0.7062630781,0.816887835
75,urn:mavedb:00000045-k-1,4,0.7147116878,0.8211108109
75,urn:mavedb:00000045-k-1,5,0.7708117234,0.8323189352
75,urn:mavedb:00000045-k-1,6,0.749151018,0.8309508627
75,urn:mavedb:00000045-k-1,7,0.7968526841,0.8352422932
75,urn:mavedb:00000045-k-1,8,0.7903951947,0.8437418482
75,urn:mavedb:00000045-k-1,9,0.7852739736,0.8528354648
75,urn:mavedb:00000045-k-1,10,0.7923406332,0.8467557298
75,urn:mavedb:00000045-k-1,11,0.8130137332,0.8532899294
75,urn:mavedb:00000045-k-1,12,0.784822279,0.8593931474
75,urn:mavedb:00000045-k-1,13,0.7973445995,0.868999639
75,urn:mavedb:00000045-k-1,14,0.7984599301,0.8701338513
75,urn:mavedb:00000045-k-1,15,0.8249130709,0.8693974864
75,urn:mavedb:00000045-k-1,16,0.8354308398,0.8636425031
75,urn:mavedb:00000045-k-1,17,0.8289889782,0.8670338385
75,urn:mavedb:00000045-k-1,18,0.8163035997,0.8668969934
75,urn:mavedb:00000045-k-1,20,0.8175891227,0.8683151354
76,urn:mavedb:00000045-l-1,1,0.1105186649,0.08857586021
76,urn:mavedb:00000045-l-1,2,0.4334529045,0.5233104802
76,urn:mavedb:00000045-l-1,3,0.1705077052,0.5458325904
76,urn:mavedb:00000045-l-1,4,0.4825056418,0.5915089498
76,urn:mavedb:00000045-l-1,5,0.4940734112,0.6521139255
76,urn:mavedb:00000045-l-1,6,0.4854495535,0.647430949
76,urn:mavedb:00000045-l-1,7,0.5527716754,0.7240935153
76,urn:mavedb:00000045-l-1,8,0.544720853,0.7014821995
76,urn:mavedb:00000045-l-1,9,0.5473713954,0.7125135175
76,urn:mavedb:00000045-l-1,10,0.5639077552,0.6895339545
76,urn:mavedb:00000045-l-1,11,0.5673963031,0.6987520095
76,urn:mavedb:00000045-l-1,12,0.5659663534,0.7030649457
76,urn:mavedb:00000045-l-1,13,0.5661786332,0.7095472167
76,urn:mavedb:00000045-l-1,14,0.5640901376,0.7130797464
76,urn:mavedb:00000045-l-1,15,0.5745328923,0.7190455464
76,urn:mavedb:00000045-l-1,16,0.5714846677,0.7178125182
76,urn:mavedb:00000045-l-1,17,0.5704372508,0.7298769776
76,urn:mavedb:00000045-l-1,18,0.5784849068,0.7346010303
76,urn:mavedb:00000045-l-1,20,0.5691105507,0.7350949917
80,urn:mavedb:00000047-b-1,1,0.1065571081,
80,urn:mavedb:00000047-b-1,2,0.2450951411,
80,urn:mavedb:00000047-b-1,3,0.264797006,
80,urn:mavedb:00000047-b-1,4,0.3645934782,
80,urn:mavedb:00000047-b-1,5,0.3545103719,
80,urn:mavedb:00000047-b-1,6,0.3815261365,
80,urn:mavedb:00000047-b-1,7,0.4429875861,
80,urn:mavedb:00000047-b-1,8,0.4121385441,
80,urn:mavedb:00000047-b-1,9,0.4551321801,
80,urn:mavedb:00000047-b-1,10,0.4459410243,
80,urn:mavedb:00000047-b-1,11,0.4547506104,
80,urn:mavedb:00000047-b-1,12,0.4919624547,
80,urn:mavedb:00000047-b-1,13,0.49645485,
80,urn:mavedb:00000047-b-1,14,0.495552819,
80,urn:mavedb:00000047-b-1,15,0.4875941309,
80,urn:mavedb:00000047-b-1,16,0.5108663776,
80,urn:mavedb:00000047-b-1,17,0.4971466798,
80,urn:mavedb:00000047-b-1,18,0.5103548158,
80,urn:mavedb:00000047-b-1,20,0.49844765,
81,urn:mavedb:00000047-c-1,1,0.2334328245,
81,urn:mavedb:00000047-c-1,2,0.2844505066,
81,urn:mavedb:00000047-c-1,3,0.3998455591,
81,urn:mavedb:00000047-c-1,4,0.3819686192,
81,urn:mavedb:00000047-c-1,5,0.4481949206,
81,urn:mavedb:00000047-c-1,6,0.5162282588,
81,urn:mavedb:00000047-c-1,7,0.4852490754,
81,urn:mavedb:00000047-c-1,8,0.4896874023,
81,urn:mavedb:00000047-c-1,9,0.5052795086,
81,urn:mavedb:00000047-c-1,10,0.4994083275,
81,urn:mavedb:00000047-c-1,11,0.5359892,
81,urn:mavedb:00000047-c-1,12,0.531593553,
81,urn:mavedb:00000047-c-1,13,0.5418513682,
81,urn:mavedb:00000047-c-1,14,0.5450979368,
81,urn:mavedb:00000047-c-1,15,0.5417785618,
81,urn:mavedb:00000047-c-1,16,0.5426949414,
81,urn:mavedb:00000047-c-1,17,0.5636906817,
81,urn:mavedb:00000047-c-1,18,0.5697007457,
81,urn:mavedb:00000047-c-1,20,0.5539473508,
82,urn:mavedb:00000047-a-1,1,0.2560535202,
82,urn:mavedb:00000047-a-1,2,0.3299881621,
82,urn:mavedb:00000047-a-1,3,0.4064574795,
82,urn:mavedb:00000047-a-1,4,0.400953946,
82,urn:mavedb:00000047-a-1,5,0.5328260131,
82,urn:mavedb:00000047-a-1,6,0.5452429459,
82,urn:mavedb:00000047-a-1,7,0.5456188945,
82,urn:mavedb:00000047-a-1,8,0.5765923803,
82,urn:mavedb:00000047-a-1,9,0.5946987412,
82,urn:mavedb:00000047-a-1,10,0.5762808858,
82,urn:mavedb:00000047-a-1,11,0.6014686656,
82,urn:mavedb:00000047-a-1,12,0.6176096005,
82,urn:mavedb:00000047-a-1,13,0.6192695357,
82,urn:mavedb:00000047-a-1,14,0.6113557197,
82,urn:mavedb:00000047-a-1,15,0.630009408,
82,urn:mavedb:00000047-a-1,16,0.6318202755,
82,urn:mavedb:00000047-a-1,17,0.6266465594,
82,urn:mavedb:00000047-a-1,18,0.6292738996,
82,urn:mavedb:00000047-a-1,20,0.6315940329,
83,urn:mavedb:00000048-a-1,1,0.1998258078,
83,urn:mavedb:00000048-a-1,2,0.3457720256,
83,urn:mavedb:00000048-a-1,3,0.3580605667,
83,urn:mavedb:00000048-a-1,4,0.4195820013,
83,urn:mavedb:00000048-a-1,5,0.4879771123,
83,urn:mavedb:00000048-a-1,6,0.5140841105,
83,urn:mavedb:00000048-a-1,7,0.5424633104,
83,urn:mavedb:00000048-a-1,8,0.5664133387,
83,urn:mavedb:00000048-a-1,9,0.5879554866,
83,urn:mavedb:00000048-a-1,10,0.5507540858,
83,urn:mavedb:00000048-a-1,11,0.5834597297,
83,urn:mavedb:00000048-a-1,12,0.5897154262,
83,urn:mavedb:00000048-a-1,13,0.6126355972,
83,urn:mavedb:00000048-a-1,14,0.589518459,
83,urn:mavedb:00000048-a-1,15,0.6214634329,
83,urn:mavedb:00000048-a-1,16,0.6156768781,
83,urn:mavedb:00000048-a-1,17,0.6193168636,
83,urn:mavedb:00000048-a-1,18,0.6193698965,
83,urn:mavedb:00000048-a-1,20,0.6177538217,
84,urn:mavedb:00000048-b-1,1,0.09364013329,
